0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
2580.1956,2479.077881,572.4869,363.0632324,22967.4922,29474.7168,18910.7149,22248.8457,14308.3045,14505.78223,1.779,3.156921387,356.765,392.5368347,59697.7381,69642.4375
2423.3749,2516.503418,506.5321,440.9326782,23637.7969,26369.65039,18802.4527,19560.04688,14364.9673,14798.81738,2.2437,0,305.7667,328.2568665,60043.1343,66344.79688
2412.8106,2513.279297,438.501,395.8212585,22879.0604,29118.97656,18850.29,21833.24805,13892.7616,14007.87598,3.441,4.430231571,337.9449,384.9090576,58814.8095,68860.94531
2410.9135,2361.888672,488.9613,324.119812,21716.0426,24662.11328,18624.0005,20095.75586,12814.9017,12051.21289,9.2553,3.553226948,334.434,387.2982178,56398.5089,61152.41016
2287.4386,2226.106201,428.5132,322.5014343,21204.7134,18349.0918,19519.9219,17003.09375,11395.9249,11530.67285,3.654,7.088696957,346.4857,416.6475525,55186.6517,50396.65625
2415.0717,2216.830811,491.9414,262.2571716,22827.4711,18465.25391,19703.3159,19846.07617,13171.772,11911.66016,4.8529,10.84842396,329.7031,420.1273804,58944.1281,50022.42188
2350.3073,2257.358643,348.9026,193.8925934,18699.7609,16523.98438,17444.4255,17340.66016,12270.3546,12282.9707,2.9434,4.799852848,292.4611,346.0027466,51409.1554,47861.24609
2329.4663,2309.959473,338.2429,254.6720734,18618.2577,18785.74414,17685.0931,20311.64453,13009.7527,12453.20313,3.4794,5.096884251,304.7196,378.9867859,52289.0117,52444.125
2329.5025,2335.033447,357.6232,311.9610291,19320.6334,20908.92188,17782.5582,17853.66211,13451.3961,12957.39551,2.5173,1.143583298,304.683,323.8886414,53548.9137,55241.96875
2411.0871,2268.332031,402.2917,233.4993134,19937.8315,17776.50195,18783.6245,17213.24609,12581.6358,11885.17773,1.9129,1.756008744,323.6987,327.7215881,54442.0822,48649.99219
2444.926,2442.748779,356.2856,346.9176636,22428.5062,22713.32617,19870.7879,17145.33398,13375.5323,13180.96387,3.0364,3.577952147,335.6059,323.7118835,58814.6803,56710.72266
2401.9564,2509.432617,406.4279,421.6568604,21949.7719,22141.21289,19021.6013,16530.81445,14351.5167,14915.9873,2.2935,3.738609552,339.8282,212.2854614,58473.3959,55534.60156
2444.8357,2530.267334,440.3015,441.3406982,22211.179,25613.04883,18834.3502,19037.45508,15451.779,14852.32813,2.4355,2.004635096,316.5778,275.7841797,59701.4587,62671.28906
2444.2149,2488.331299,415.3892,465.8565979,20411.7567,20269.92773,18154.6267,18643.41211,14109.0904,14000.71289,2.8296,4.88787365,289.0132,355.0697937,55826.9207,56892.33203
2420.9327,2457.109131,358.2801,444.9172363,19490.3616,20030.61914,17754.8041,15561.55273,13416.2264,13747.24316,3.2643,2.858384848,297.8274,279.2619019,53741.6966,54107.31641
